asset,policy,delay_ms,fee_bps,fill_fraction,adverse_selection_bps,daily_utility_difference,mlp_minus_logistic_utility,mlp_minus_logistic_f1,opposite_mean_directions
ETH,fixed_confidence,0,0,1,0,"[0.006344394744552275, -0.00369725588842618, 0.009182080268289709]",0.0039430730414719345,0.1584938751647065,False
ETH,fixed_confidence,0,0,1,1,"[-0.10629367358321552, -0.016245271253342953, -0.02415551618479466]",-0.04889815367378438,0.1584938751647065,True
ETH,fixed_confidence,0,0,1,5,"[-0.5568459468942866, -0.06643733271301004, -0.15750590199713213]",-0.2602630605348096,0.1584938751647065,True
ETH,fixed_confidence,0,5,0.25,0,"[-0.2800094740502744, -0.03229428062866593, -0.08104931872879954]",-0.1311176911359133,0.1584938751647065,True
ETH,fixed_confidence,0,5,0.25,1,"[-0.3081689911322163, -0.03543128446989512, -0.08938371784207064]",-0.14432799781472735,0.1584938751647065,True
ETH,fixed_confidence,0,5,0.25,5,"[-0.4208070594599842, -0.047979299834811896, -0.122721314295155]",-0.19716922452998373,0.1584938751647065,True
ETH,fixed_confidence,0,5,0.5,0,"[-0.5600189481005488, -0.06458856125733187, -0.1620986374575991]",-0.2622353822718266,0.1584938751647065,True
ETH,fixed_confidence,0,5,0.5,1,"[-0.6163379822644326, -0.07086256893979025, -0.17876743568414127]",-0.2886559956294547,0.1584938751647065,True
ETH,fixed_confidence,0,5,0.5,5,"[-0.8416141189199684, -0.09595859966962379, -0.24544262859031]",-0.39433844905996746,0.1584938751647065,True
ETH,fixed_confidence,0,5,1,0,"[-1.1200378962010975, -0.12917712251466373, -0.3241972749151982]",-0.5244707645436532,0.1584938751647065,True
ETH,fixed_confidence,0,5,1,1,"[-1.2326759645288652, -0.1417251378795805, -0.35753487136828255]",-0.5773119912589094,0.1584938751647065,True
ETH,fixed_confidence,0,5,1,5,"[-1.6832282378399368, -0.19191719933924759, -0.49088525718062]",-0.7886768981199349,0.1584938751647065,True
ETH,fixed_confidence,100,0,0.25,0,"[0.00044118129367206227, -0.000960295444707037, 0.001709811692599554]",0.0003968991805215264,0.1584938751647065,False
