family,group,endpoint,metric,n,raw,standardized_group_conditionals,q_F,q_A,q_N,ell_F,ell_A,ell_N
breakout,Aug-Nov,equal_day,frequency-uniform,1749,-0.04562052744819005,-0.040337997256515795,0.2569793307673192,0.15529388002253416,0.5877267892101468,0.03293058984910829,0.24478244170096025,-0.15669903978052127
breakout,Aug-Nov,pooled,C,1749,0.3116275558239344,0.29733184432415766,0.3007432818753575,0.17438536306460845,0.5248713550600346,0.4179284620011673,0.6964795514819316,0.12285398793187122
breakout,Aug-Nov,pooled,P,1749,0.3140118872159681,0.3004829162651703,0.3007432818753575,0.17438536306460845,0.5248713550600346,0.4496970634213499,0.705540696136411,0.10618324952014455
breakout,Aug-Nov,pooled,R,1749,0.3186430569582963,0.30517304935611456,0.3007432818753575,0.17438536306460845,0.5248713550600346,0.4840631999540961,0.7320778856164583,0.08649859295336139
breakout,Aug-Nov,pooled,onehot-F,1749,0.6992567181246435,0.6592592592592595,0.3007432818753575,0.17438536306460845,0.5248713550600346,0.0,1.0000000000000002,1.0000000000000004
breakout,Aug-Nov,pooled,onehot-A,1749,0.8256146369353932,0.8711111111111113,0.3007432818753575,0.17438536306460845,0.5248713550600346,0.9999999999999998,0.0,1.0000000000000004
breakout,Aug-Nov,pooled,onehot-N,1749,0.47512864493996554,0.4696296296296296,0.3007432818753575,0.17438536306460845,0.5248713550600346,0.9999999999999998,1.0000000000000002,0.0
breakout,Aug-Nov,pooled,uniform,1749,0.3333333333333332,0.3333333333333335,0.3007432818753575,0.17438536306460845,0.5248713550600346,0.33333333333333354,0.3333333333333332,0.33333333333333354
breakout,Aug-Nov,pooled,train-frequency,1749,0.3036766246203005,0.2929953360768174,0.3007432818753575,0.17438536306460845,0.5248713550600346,0.36626392318244133,0.5781157750342935,0.17663429355281202
breakout,Aug-Nov,pooled,P-C,1749,0.002384331392033837,0.00315107194101268,0.3007432818753575,0.17438536306460845,0.5248713550600346,0.031768601420182584,0.009061144654479427,-0.016670738411726664
breakout,Aug-Nov,pooled,R-C,1749,0.007015501134362028,0.007841205031956948,0.3007432818753575,0.17438536306460845,0.5248713550600346,0.06613473795292883,0.035598334134526656,-0.0363553949785098
breakout,Aug-Nov,pooled,R-P,1749,0.0046311697423281895,0.004690133090944263,0.3007432818753575,0.17438536306460845,0.5248713550600346,0.03436613653274625,0.026537189480047216,-0.01968465656678315
breakout,Aug-Nov,pooled,C-frequency,1749,0.007950931203633865,0.004336508247340146,0.3007432818753575,0.17438536306460845,0.5248713550600346,0.05166453881872566,0.1183637764476381,-0.053780305620940834
breakout,Aug-Nov,pooled,P-frequency,1749,0.010335262595667699,0.00748758018835282,0.3007432818753575,0.17438536306460845,0.5248713550600346,0.08343314023890824,0.1274249211021175,-0.0704510440326675
breakout,Aug-Nov,pooled,R-frequency,1749,0.014966432337995892,0.012177713279297089,0.3007432818753575,0.17438536306460845,0.5248713550600346,0.1177992767716545,0.15396211058216475,-0.09013570059945064
breakout,Aug-Nov,pooled,frequency-uniform,1749,-0.02965670871303301,-0.040337997256515705,0.3007432818753575,0.17438536306460845,0.5248713550600346,0.03293058984910829,0.2447824417009602,-0.15669903978052108
rebound,May-Jul,equal_day,C,634,0.2853065884750783,0.3009249816248865,0.042666885900065815,0.384113092609757,0.5732200214901773,0.7098026849375751,0.27865346373013816,0.2581680140912845
rebound,May-Jul,equal_day,P,634,0.28372270958475526,0.3010617251220642,0.042666885900065815,0.384113092609757,0.5732200214901773,0.72075609524945,0.2851913067007737,0.25020859587538985
rebound,May-Jul,equal_day,R,634,0.28881179843351984,0.31562794033245584,0.042666885900065815,0.384113092609757,0.5732200214901773,0.7815606498600526,0.33846543427523246,0.2188619203056666
rebound,May-Jul,equal_day,onehot-F,634,0.9573331140999344,0.9262981574539362,0.042666885900065815,0.384113092609757,0.5732200214901773,0.0,0.9999999999999998,1.0
